frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
112,3.733,log1,group_02,traffic1.mp4,13,car,0.662,950,43,1178,172,1064,107,1280,720,false,right,668.8
112,3.733,log1,group_02,traffic1.mp4,7,car,0.529,636,279,946,457,791,368,1280,720,false,up,18.6
113,3.767,log1,group_02,traffic1.mp4,13,car,0.65,959,39,1180,166,1069,102,1280,720,false,right,234.3
113,3.767,log1,group_02,traffic1.mp4,12,car,0.634,1194,31,1299,146,1246,88,1280,720,false,right,284.6
113,3.767,log1,group_02,traffic1.mp4,7,car,0.429,643,273,947,448,795,360,1280,720,false,up,268.3
114,3.8,log1,group_02,traffic1.mp4,13,car,0.61,971,34,1186,158,1078,96,1280,720,false,right,318.9
115,3.833,log1,group_02,traffic1.mp4,13,car,0.68,991,25,1203,148,1097,86,1280,720,false,right,630.7
116,3.867,log1,group_02,traffic1.mp4,13,car,0.692,1013,12,1225,136,1119,74,1280,720,false,right,766.6
117,3.9,log1,group_02,traffic1.mp4,13,car,0.526,1043,3,1261,130,1152,66,1280,720,false,right,1018.7
118,3.933,log1,group_02,traffic1.mp4,13,car,0.662,1061,-3,1278,120,1169,58,1280,720,false,right,590.9
119,3.967,log1,group_02,traffic1.mp4,13,car,0.641,1081,-5,1290,115,1185,55,1280,720,false,right,465.7
120,4.0,log1,group_02,traffic1.mp4,13,car,0.656,1100,-6,1298,112,1199,53,1280,720,false,right,421.1
120,4.0,log1,group_02,traffic1.mp4,7,car,0.428,692,226,977,398,834,312,1280,720,false,up,267.8
121,4.033,log1,group_02,traffic1.mp4,13,car,0.742,1114,-5,1299,111,1206,53,1280,720,false,right,240.0
121,4.033,log1,group_02,traffic1.mp4,7,car,0.659,715,211,1035,394,875,302,1280,720,false,up,1230.0
122,4.067,log1,group_02,traffic1.mp4,7,car,0.781,720,204,1065,395,892,299,1280,720,false,right,547.4
122,4.067,log1,group_02,traffic1.mp4,13,car,0.685,1128,-4,1300,110,1214,53,1280,720,false,right,210.0
123,4.1,log1,group_02,traffic1.mp4,7,car,0.725,717,202,1080,398,898,300,1280,720,false,right,150.0
123,4.1,log1,group_02,traffic1.mp4,13,car,0.651,1140,-3,1300,111,1220,54,1280,720,false,right,180.0
124,4.133,log1,group_02,traffic1.mp4,13,car,0.604,1149,-2,1298,111,1223,54,1280,720,false,right,123.7
125,4.167,log1,group_02,traffic1.mp4,13,car,0.652,1156,-2,1297,110,1226,54,1280,720,false,right,60.0
126,4.2,log1,group_02,traffic1.mp4,13,car,0.697,1161,-1,1295,111,1228,55,1280,720,false,right,60.0
127,4.233,log1,group_02,traffic1.mp4,13,car,0.674,1163,-1,1292,112,1227,55,1280,720,false,right,42.4
127,4.233,log1,group_02,traffic1.mp4,7,car,0.59,677,195,1096,408,886,301,1280,720,false,right,82.8
127,4.233,log1,group_02,traffic1.mp4,7,car,0.408,677,195,1096,408,886,301,1280,720,false,right,82.8
128,4.267,log1,group_02,traffic1.mp4,13,car,0.661,1165,0,1290,115,1227,57,1280,720,false,right,67.1
129,4.3,log1,group_02,traffic1.mp4,13,car,0.661,1167,0,1289,115,1228,57,1280,720,false,right,0.0
130,4.333,log1,group_02,traffic1.mp4,13,car,0.685,1170,0,1288,116,1229,58,1280,720,false,right,42.4
131,4.367,log1,group_02,traffic1.mp4,13,car,0.748,1173,0,1287,118,1230,59,1280,720,false,right,42.4
